key,value,date
Beethoven,40,1989
Beethoven,37,1990
Beethoven,7,1991
Beethoven,36,1992
Beethoven,15,1993
Beethoven,32,1994
Beethoven,34,1995
Beethoven,25,1996
Beethoven,13,1997
Beethoven,23,1998
Beethoven,34,1999
Beethoven,16,2000
Beethoven,37,2001
Beethoven,35,2002
Beethoven,29,2003
Beethoven,19,2004
Beethoven,14,2005
Beethoven,27,2006
Beethoven,39,2007
Beethoven,41,2008
Beethoven,34,2009
Beethoven,28,2010
Beethoven,45,2011
Beethoven,35,2012
Beethoven,27,2013
Beethoven,34,2014
Beethoven,21,2015
Beethoven,36,2016
Brahms,0,1842
Brahms,0,1843
Brahms,0,1844
Brahms,0,1845
Brahms,0,1846
Brahms,0,1847
Brahms,0,1848
Brahms,0,1849
Brahms,0,1850
Brahms,0,1851
Brahms,0,1852
Brahms,0,1853
Brahms,0,1854
Brahms,0,1855
Brahms,0,1856
Brahms,0,1857
Brahms,0,1858
Brahms,0,1859
Brahms,0,1860
Brahms,0,1861
Brahms,1,1862
Brahms,0,1863
Brahms,0,1864
Brahms,0,1865
Brahms,0,1866
Brahms,0,1867
Brahms,0,1868
Brahms,0,1869
Brahms,0,1870
Brahms,0,1871
Brahms,0,1872
Brahms,0,1873
Brahms,0,1874
Brahms,1,1875
Brahms,0,1876
Brahms,1,1877
Brahms,2,1878
Brahms,0,1879
Brahms,2,1880
Brahms,4,1881
Brahms,1,1882
Brahms,2,1883
Brahms,2,1884
Brahms,0,1885
Brahms,3,1886
Brahms,5,1887
Brahms,2,1888
Brahms,2,1889
Brahms,4,1890
Brahms,5,1891
Brahms,0,1892
Brahms,6,1893
Brahms,0,1894
Brahms,2,1895
Brahms,5,1896
Brahms,0,1897
Brahms,6,1898
Brahms,10,1899
Brahms,8,1900
Brahms,8,1901
Brahms,5,1902
Brahms,6,1903
Brahms,3,1904
Brahms,9,1905
Brahms,8,1906
Brahms,6,1907
Brahms,1,1908
Brahms,6,1909
Brahms,13,1910
Brahms,3,1911
Brahms,25,1912
Brahms,11,1913
Brahms,22,1914
Brahms,23,1915
Brahms,18,1916
Brahms,21,1917
Brahms,25,1918
Brahms,22,1919
Brahms,17,1920
Brahms,27,1921
Brahms,38,1922
Brahms,28,1923
Brahms,47,1924
Brahms,50,1925
Brahms,41,1926
Brahms,55,1927
Brahms,46,1928
Brahms,40,1929
Brahms,45,1930
Brahms,23,1931
Brahms,43,1932
Brahms,35,1933
Brahms,21,1934
Brahms,40,1935
Brahms,29,1936
Brahms,35,1937
Brahms,33,1938
Brahms,41,1939
Brahms,42,1940
Brahms,31,1941
Brahms,31,1942
Brahms,37,1943
Brahms,38,1944
Brahms,23,1945
Brahms,37,1946
Brahms,38,1947
Brahms,34,1948
Brahms,36,1949
Brahms,23,1950
Brahms,40,1951
Brahms,25,1952
Brahms,30,1953
Brahms,20,1954
Brahms,62,1955
Brahms,29,1956
Brahms,26,1957
Brahms,24,1958
Brahms,41,1959
Brahms,26,1960
Brahms,18,1961
Brahms,34,1962
Brahms,22,1963
Brahms,28,1964
Brahms,20,1965
Brahms,28,1966
Brahms,20,1967
Brahms,16,1968
Brahms,7,1969
Brahms,15,1970
Brahms,27,1971
Brahms,12,1972
Brahms,12,1973
Brahms,18,1974
Brahms,16,1975
